id,city,lat,lng,country,capital
412,Minsk,53.9,27.5667,Belarus,0
413,Tijuana,32.525,-117.0333,Mexico,0
414,Bamenda,5.9614,10.1517,Cameroon,1
415,Boosaaso,11.2886,49.1819,Somalia,1
416,Indore,22.7167,75.8472,India,
417,Şanlıurfa,37.1583,38.7917,Turkey,1
418,Vienna,48.2083,16.3725,Austria,0
419,Karaj,35.8272,50.9489,Iran,1
420,Kananga,-5.897,22.4488,Congo (Kinshasa),1
421,Peshawar,34.0144,71.5675,Pakistan,1
422,Sapporo,43.0667,141.35,Japan,1
423,Ecatepec,19.6097,-99.06,Mexico,0
424,Pingxiang,27.6333,113.85,China,0
425,Orlando,28.4773,-81.337,United States,
426,Aleppo,36.2,37.16,Syria,1
427,Sacramento,38.5677,-121.4685,United States,1
428,Almaty,43.2775,76.8958,Kazakhstan,1
429,San Juan,18.3985,-66.061,Puerto Rico,0
430,San Antonio,29.4632,-98.5238,United States,
431,Yinchuan,38.4795,106.2254,China,1
432,Thāne,19.1972,72.9722,India,
433,Santos,-23.9369,-46.325,Brazil,
434,Blantyre,-15.7861,35.0058,Malawi,1
435,Bucharest,44.4325,26.1039,Romania,0
436,Curitiba,-25.4297,-49.2711,Brazil,1
437,Multan,30.1978,71.4697,Pakistan,0
438,Tainan,22.9833,120.1833,Taiwan,1
439,Xiping,40.082,113.2981,China,0
440,Port Harcourt,4.8242,7.0336,Nigeria,1
441,Warsaw,52.23,21.0111,Poland,0
442,Jixi,45.2937,130.965,China,0
443,Saidu Sharif,34.75,72.3572,Pakistan,0
444,Liaoyang,41.2643,123.1772,China,
445,Beihai,21.4667,109.1,China,0
446,Meru,0.05,37.65,Kenya,1
447,Brazzaville,-4.2694,15.2714,Congo (Brazzaville),0
448,Fuxin,42.0127,121.6486,China,
449,Wuwei,37.9278,102.6329,China,0
450,Mersin,36.8,34.6333,Turkey,1
451,Bhopāl,23.25,77.4167,India,1
452,Lubumbashi,-11.6647,27.4794,Congo (Kinshasa),1
453,Denpasar,-8.65,115.2167,Indonesia,1
454,Davao,7.0667,125.6,Philippines,1
455,Shuyangzha,34.1299,118.7734,China,
456,Adana,37,35.3213,Turkey,1
457,Damascus,33.5131,36.2919,Syria,0
458,Brussels,50.8467,4.3525,Belgium,0
459,Hyderabad City,25.3792,68.3683,Pakistan,0
460,Diyarbakır,37.91,40.24,Turkey,1
461,San Jose,37.3012,-121.848,United States,
462,Chinchvad,18.6186,73.8037,India,
463,Montevideo,-34.8836,-56.1819,Uruguay,0
464,Pittsburgh,40.4397,-79.9763,United States,
465,Shuozhou,39.3408,112.4292,China,0
466,Cincinnati,39.1413,-84.506,United States,
467,Benxi,41.292,123.761,China,
468,Baiyin,36.5448,104.1766,China,0
469,Mosul,36.34,43.13,Iraq,1
470,Manhattan,40.7834,-73.9662,United States,
471,Caloocan City,14.65,120.97,Philippines,1
472,Kampala,0.3136,32.5811,Uganda,0
473,Patna,25.6,85.1,India,1
474,Tegucigalpa,14.1,-87.2167,Honduras,0
475,Cleveland,41.4764,-81.6805,United States,
476,Sanzhou,30.82,108.4,China,
477,Changshu,31.65,120.7333,China,
478,Mecca,21.4225,39.8233,Saudi Arabia,1
479,Heihe,50.2458,127.4886,China,0
480,Jingdezhen,29.2942,117.2036,China,0
481,Conakry,9.5092,-13.7122,Guinea,0
482,Recife,-8.05,-34.9,Brazil,1
483,Indianapolis,39.7771,-86.1458,United States,1
484,Austin,30.3005,-97.7522,United States,1
485,Sangereng,-6.2889,106.7181,Indonesia,
